run_id,family_id,machine,gpu,branch,worktree,commit_sha,config_slug,remote_repo,log_path,output_path,start_time,end_time,run_status,gate_verdict,report_path,tags,notes
ntv2_teacher_distill_short10_s42_6000_20260409_r2,ntv2_teacher_distill_tutorial,6000,A6000x2,dual-track-20260409,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/dual-track-20260409,4ffc6e7,ntv2_distill_short10_runtime,/data1/zhoujiazhen/bylw_atac/TransChromBP,/data1/zhoujiazhen/bylw_atac/TransChromBP/logs/ntv2_teacher_distill_short10_s42_6000_20260409_r2.log,/data1/zhoujiazhen/bylw_atac/TransChromBP/outputs/logs/ntv2_teacher_distill_short10_s42_6000_20260409_r2,unknown,2026-04-09 22:43 CST,completed,fail,reports/ntv2_teacher_distill_short10_gate_closeout_20260409.md,run/6000/ntv2_teacher_distill_short10_s42_6000_20260409_r2;closeout/ntv2_teacher_distill_tutorial/20260409,archival commit from frozen dual-track snapshot
teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r1,unet_lite_v1,6002,RTX3080,dual-track-20260409,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/dual-track-20260409,4ffc6e7,unet_lite_v1_short10_runtime,/home/zhengwei/bylw_atac/TransChromBP,/home/zhengwei/bylw_atac/TransChromBP/logs/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r1.log,/home/zhengwei/bylw_atac/TransChromBP/outputs/logs/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r1,unknown,unknown,invalid,n/a,reports/unet_lite_v1_rigor_review_20260409.md,run/6002/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r1,loader or config contract failure
teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r2,unet_lite_v1,6002,RTX3080,dual-track-20260409,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/dual-track-20260409,4ffc6e7,unet_lite_v1_short10_runtime,/home/zhengwei/bylw_atac/TransChromBP,/home/zhengwei/bylw_atac/TransChromBP/logs/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r2.log,/home/zhengwei/bylw_atac/TransChromBP/outputs/logs/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r2,unknown,unknown,invalid,n/a,reports/unet_lite_v1_rigor_review_20260409.md,run/6002/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r2,bigWig path remap failure
teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r3,unet_lite_v1,6002,RTX3080,dual-track-20260409,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/dual-track-20260409,4ffc6e7,unet_lite_v1_short10_runtime,/home/zhengwei/bylw_atac/TransChromBP,/home/zhengwei/bylw_atac/TransChromBP/logs/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r3.log,/home/zhengwei/bylw_atac/TransChromBP/outputs/logs/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r3,unknown,unknown,completed,n/a,reports/unet_lite_v1_rigor_review_20260409.md,run/6002/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r3,first valid run under 6002 canonical data config
teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r4,unet_lite_v1,6002,RTX3080,dual-track-20260409,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/dual-track-20260409,4ffc6e7,unet_lite_v1_short10_runtime,/home/zhengwei/bylw_atac/TransChromBP,/home/zhengwei/bylw_atac/TransChromBP/logs/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r4.log,/home/zhengwei/bylw_atac/TransChromBP/outputs/logs/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r4,2026-04-09 22:41 CST,2026-04-10 03:34:42 CST,completed,no_go,reports/unet_lite_v1_rigor_review_20260409.md,run/6002/teacher_v2_center_pool_unet_lite_v1_short10_s42_6002_20260409_r4;closeout/unet_lite_v1/20260410,confirmation rerun kept family off shortlist
teacher_v2_center_pool_msdec_v1_s2_s42_20260409_full1,msdec_skipprobe_legacy_readout,6000,A6000x2,multiscale-decoder-probe-20260407,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/multiscale-decoder-probe-20260407,4c62096,msdec_v1_s2_full1,/data1/zhoujiazhen/bylw_atac/TransChromBP,/data1/zhoujiazhen/bylw_atac/TransChromBP/logs/teacher_v2_center_pool_msdec_v1_s2_s42_20260409_full1.log,/data1/zhoujiazhen/bylw_atac/TransChromBP/outputs/logs/teacher_v2_center_pool_msdec_v1_s2_s42_20260409_full1,unknown,unknown,completed,n/a,reports/repository_status_handoff_20260409.md,run/6000/teacher_v2_center_pool_msdec_v1_s2_s42_20260409_full1;snapshot/multiscale-decoder-probe-20260407/20260407,legacy archival snapshot commit
teacher_v2_center_pool_skipprobe_v1_wide_short10_s42_6002_r1,msdec_skipprobe_legacy_readout,6002,RTX3080,multiscale-decoder-probe-20260407,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/multiscale-decoder-probe-20260407,4c62096,skipprobe_v1_wide_short10,/home/zhengwei/bylw_atac/TransChromBP,/home/zhengwei/bylw_atac/TransChromBP/logs/teacher_v2_center_pool_skipprobe_v1_wide_short10_s42_6002_r1.log,/home/zhengwei/bylw_atac/TransChromBP/outputs/logs/teacher_v2_center_pool_skipprobe_v1_wide_short10_s42_6002_r1,unknown,unknown,completed,n/a,reports/repository_status_handoff_20260409.md,run/6002/teacher_v2_center_pool_skipprobe_v1_wide_short10_s42_6002_r1;snapshot/multiscale-decoder-probe-20260407/20260407,legacy comparator run on 6002
chrombpnet_official_step3_bridge_smoke_20260408_110411,chrombpnet_externalization,6000,CPU_or_small_GPU,autonomy/20260406-chrombpnet-externalization,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/autonomy-20260406-chrombpnet-externalization,4aadffa,step3_bridge_smoke,/data1/zhoujiazhen/bylw_atac/chromBPNet,/data1/zhoujiazhen/bylw_atac/logs/chrombpnet_official_step3_bridge_smoke_20260408_110411.log,/data1/zhoujiazhen/bylw_atac/.codex_jobs/chrombpnet_official_step3_bridge_smoke_20260408_110411/output,2026-04-08 11:04:11 CST,2026-04-08 11:21 CST,completed,technical_pass,docs/plan/chrombpnet_official_externalization_implementation_plan_20260406.md,snapshot/autonomy-20260406-chrombpnet-externalization/20260406,bridge smoke verified canonical official root
alphagenome_matched_raw_track_slice_v1_20260410,alphagenome_matched_raw_track_slice,6000,API_or_CPU_sidecar,a6000-dual-track-20260410,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/a6000-dual-track-20260410,8b89ea1,regions_k562_tutorial_selected_loci.csv,/data1/zhoujiazhen/bylw_atac/TransChromBP,/data1/zhoujiazhen/bylw_atac/TransChromBP/logs/alphagenome_matched_raw_track_slice_v1_20260410.log,/data1/zhoujiazhen/bylw_atac/TransChromBP/outputs/alphagenome_pilot/alphagenome_matched_raw_track_slice_v1_20260410,2026-04-10 00:22:40 CST,2026-04-10 00:22:55 CST,completed,technical_pass,reports/alphagenome_matched_raw_track_slice_v1_closeout_20260410.md,run/6000/alphagenome_matched_raw_track_slice_v1_20260410;closeout/alphagenome_matched_raw_track_slice/20260410,technical or alignment gate pass only
alphagenome_matched_raw_track_slice_v2_20260410,alphagenome_matched_raw_track_slice,6000,API_or_CPU_sidecar,a6000-dual-track-20260410,/home/zhengwei/.config/superpowers/worktrees/chromBPNet/a6000-dual-track-20260410,8b89ea1,regions_k562_tutorial_matched_panel_v2.csv,/data1/zhoujiazhen/bylw_atac/TransChromBP,/data1/zhoujiazhen/bylw_atac/TransChromBP/logs/alphagenome_matched_raw_track_slice_v2_20260410.log,/data1/zhoujiazhen/bylw_atac/TransChromBP/outputs/alphagenome_pilot/alphagenome_matched_raw_track_slice_v2_20260410,2026-04-10 02:48:42 CST,2026-04-10 03:34:42 CST,completed,technical_pass,reports/alphagenome_matched_raw_track_slice_v2_closeout_20260410.md,run/6000/alphagenome_matched_raw_track_slice_v2_20260410;closeout/alphagenome_matched_raw_track_slice/20260410,external-coordinate sidecar closeout
